created,text
2020-03-16 09:52:39,"RT @gapsikisgood: 2019 한국을 대표하는 인물 TOP 20 (문화체육관광부 발표)

1. 문재인
2. 방탄소년단
3. 이민호
4. 송혜교
5. 싸이
6. 데이식스
7. 블랙핑크
8. 송중기
9. 반기문
10. 손흥민
11. 온앤오프…"
2020-03-16 09:50:23,"2020한국을 대표하는 인물 TOP 20 (문화체육관광부 발표)

1. 문재인
2. 온앤오프
3. 이민호
4. 송혜교
5. 싸이
6. 데이식스
7. 블랙핑크
8. 스트레이키즈
9. 반기문
10. 손흥민
11… https://t.co/8u8wPAabh1"
2020-03-16 09:49:06,"RT @gapsikisgood: 2019 한국을 대표하는 인물 TOP 20 (문화체육관광부 발표)

1. 문재인
2. 방탄소년단
3. 이민호
4. 송혜교
5. 싸이
6. 데이식스
7. 블랙핑크
8. 송중기
9. 반기문
10. 손흥민
11. 온앤오프…"
2020-03-16 09:31:34,2019년 손흥민 선수 골 모음… 가슴이 뻥!! 시원한!! - Travel News https://t.co/j6GYjan3V5
2020-03-16 09:31:31,"손흥민 ’70ｍ 질주 원더골’, 런던 연고팀 최고의 골로 뽑혀 - Travel News https://t.co/s77yOYqZ3t"
2020-03-16 09:30:56,RT @ryusiso_seesaw: 둘이 진짜 웃기고 귀엽다ㅋㅋㅋㅋㅋㅋ 우리팬들도 팬들인데 손흥민 선수 팬분들 세레모니 보고 류준열 왔나 찾아본다는 거 진짜ㅋㅋㅋㅋㅋㅋㅋ 둘 찐우정 응원해... https://t.co/BQknnNae8k
2020-03-16 09:13:04,"RT @sson_woo16: ⚽️ '아마존'은 올 시즌 토트넘과 동행하며 다큐를 제작해왔고, 시즌 종료 후 공개할 예정.

✅ 이 다큐에서는 포체티노의 경질, 그리고 무리뉴 선임 과정의 내막을 확인할 수 있음

✅ 손흥민의 고메스 태클 사건, 70m…"
2020-03-16 09:11:51,"RT @sson_woo16: ⚽️ '아마존'은 올 시즌 토트넘과 동행하며 다큐를 제작해왔고, 시즌 종료 후 공개할 예정.

✅ 이 다큐에서는 포체티노의 경질, 그리고 무리뉴 선임 과정의 내막을 확인할 수 있음

✅ 손흥민의 고메스 태클 사건, 70m…"
2020-03-16 09:00:03,옥소리 골키퍼가 보아를 이응경처럼 만들어 달라고 한대. 이가가 자기초등학고도 아니고 명일초등학교도 아니고 손흥민 초등학교래.
2020-03-16 08:55:46,"RT @shineuna4411: 👉🏻혹시 흥민 선수님 담요 있으신 분👈🏻

몇 번 착용하셨거나, 실밥 등 어느정도 하자가 있어도 괜찮으니 편하게 DM 주세요😊

🌟담요를 구하게 되면, 이 트윗을 RT 하신 분들 중 추첨을 통해 '고래밥' 기프티콘을…"
2020-03-16 08:54:11,"🍎พรุ่งนี้มาอัพตอนใหม่ รออ่านกันด้วยนะ
""รินจะกอดคุณไว้​ อปป้ามีรินเสมอ​ อย่าโทษตัวเองนะ​ "" T_T
#รักนายพระเอกของฉัน
เ… https://t.co/D4ORnoSTEk"
2020-03-16 08:52:27,"英 언론, ""손흥민 부상 뒤 '무승' 토트넘, 코로나19로 시간 벌어 이득"" https://t.co/XkzXQu6QQf"
2020-03-16 08:50:21,"손흥민은 슈퍼콘!
슈퍼손 슈퍼콘 슈퍼슈퍼 손콘! https://t.co/pJgLwwiILy"
